cluster	gene
81	AT5G67330
82	AT1G13609
83	AT1G47395
84	AT2G14247
85	AT1G12030
85	AT5G47910
86	AT1G32540
86	AT1G58290
86	AT1G60960
86	AT2G05710
86	AT3G43670
87	AT1G34760
88	AT1G09790
88	AT1G52040
88	AT4G26701
88	AT4G27520
89	AT1G07890
89	AT3G56090
89	AT4G04770
89	AT5G45410
90	AT3G12820
91	AT1G52890
91	AT2G30766
91	AT2G46630
91	AT3G54570
91	AT3G58060
91	AT4G31940
91	AT5G01060
91	AT5G17165
91	AT5G45070
92	AT5G53850
93	AT5G07530
94	AT1G68650
94	AT2G36885
94	AT2G38060
94	AT4G08390
94	AT4G36050
94	AT5G40510
95	AT2G41240
96	AT5G67370
97	AT3G02550
97	AT4G25030
97	AT5G01600
97	AT5G59400
98	AT1G58080
99	AT5G13210
100	AT1G74490
100	AT3G11050
100	AT5G04590
101	AT5G03570
102	AT1G05300
102	AT2G39410
102	AT3G20510
102	AT4G01630
102	AT5G49760
103	AT2G32960
104	AT2G04050
105	AT1G47400
106	AT1G14185
107	AT3G09340
108	AT3G18280
109	AT4G02330
110	AT1G32380
110	AT1G49820
110	AT2G05830
111	AT2G32990
112	AT2G20800
113	AT5G02780
114	AT5G05240
115	AT3G46900
116	AT3G57960
117	AT5G53420
118	AT3G23550
119	AT1G30780
119	AT2G16380
119	AT2G39730
119	AT3G46700
119	AT3G54520
119	AT4G03480
119	AT4G04450
120	AT5G07800
121	AT1G43800
122	AT5G14920
123	AT5G26820
124	AT5G39635
125	AT3G01600
126	AT3G18282
127	AT1G20630
127	AT3G16350
127	AT4G27610
128	AT4G22960
129	AT3G15510
130	AT4G31000
131	AT2G26040
132	AT2G30560
132	AT4G34470
132	AT4G35720
132	AT5G45880
133	AT4G25480
134	AT1G77120
135	AT5G57670
136	AT5G38030
137	AT4G22980
138	AT3G11750
139	AT1G01380
140	AT5G01850
141	AT3G48410
142	AT1G18570
142	AT1G36060
142	AT1G51790
142	AT3G45330
142	AT3G59700
142	AT4G39640
142	AT5G07770
142	AT5G24230
143	AT5G38820
144	AT1G02920
144	AT1G02930
144	AT1G08930
144	AT2G23450
144	AT4G23700
144	AT5G53550
145	AT1G54740
145	AT2G29730
145	AT2G37130
145	AT3G26520
145	AT5G26010
146	AT2G33000
147	AT5G66840
148	AT1G68880
149	AT4G28040
150	AT1G75250
151	AT1G06350
151	AT1G55740
152	AT1G18060
152	AT2G22070
152	AT3G62760
152	AT4G39740
152	AT5G62165
153	AT3G52770
154	AT1G52100
155	AT1G04920
156	AT1G64860
156	AT3G08880
156	AT3G16400
156	AT4G15110
156	AT5G13630
157	AT1G70500
158	AT2G05720
159	AT2G23150
160	AT1G32375
161	ATMG00520
162	AT2G25680
162	AT3G01175
162	AT3G47750
162	AT4G25930
162	AT4G35440
163	AT2G33020
164	AT3G24780
165	AT5G48657
166	AT5G19970
167	AT1G13230
168	AT3G23570
169	AT2G23170
170	AT1G22570
171	AT2G03200
172	AT1G13110
172	AT1G13540
172	AT1G13550
172	AT1G15890
172	AT1G16110
172	AT1G52200
172	AT2G44370
172	AT2G44380
172	AT3G46690
172	AT3G55150
172	AT3G59120
172	AT4G37540
172	AT5G43520
173	AT5G01690
174	AT2G02250
175	AT5G67090
176	AT3G45580
177	AT3G50660
178	AT4G11690
179	AT5G15120
180	AT5G15290
181	AT5G01775
182	AT3G23580
183	AT2G14210
184	AT1G18270
184	AT1G55810
184	AT2G34180
184	AT4G28703
184	AT5G17960
184	AT5G26740
184	AT5G50200
184	AT5G57655
184	AT5G65690
185	AT5G22800
186	AT1G11530
186	AT5G44590
187	AT5G07540
188	AT1G15885
188	AT2G06520
188	AT2G44360
188	AT4G32260
188	AT5G62280
188	AT5G65220
188	AT5G67640
189	AT1G03660
189	AT1G18300
189	AT1G21590
189	AT1G52710
189	AT3G45050
189	AT4G02200
189	AT5G55170
190	AT3G07880
190	AT3G16390
190	AT5G22875
191	AT1G64020
191	AT2G05160
191	AT2G33830
191	AT4G26260
192	AT2G09515
193	AT4G11390
194	AT1G05190
194	AT1G44920
194	AT1G53025
194	AT1G55805
194	AT2G28080
194	AT2G29125
194	AT3G05945
194	AT3G47965
194	AT3G49140
194	AT4G01150
194	AT4G07825
194	AT4G11547
194	AT4G25050
194	AT5G51960
194	AT5G51970
194	AT5G60230
194	AT5G66290
195	AT3G20110
195	AT3G50010
195	AT5G46040
196	AT2G02310
197	AT1G30260
198	AT2G01670
199	AT1G55380
200	AT2G43870
200	AT4G25310
200	AT4G35070
200	AT5G24030
200	AT5G57710
200	AT5G65170
201	AT1G15040
201	AT1G28330
201	AT1G52245
201	AT1G67480
201	AT4G25170
201	AT5G05965
201	AT5G19230
201	AT5G56550
202	AT1G30740
202	AT1G63610
202	AT2G38695
202	AT5G20830
202	AT5G28640
203	AT1G06510
203	AT1G60550
203	AT1G72275
203	AT1G79880
203	AT3G02820
203	AT3G54220
203	AT3G60880
203	AT4G07950
203	AT5G14210
203	AT5G27410
203	AT5G48100
204	AT1G02890
204	AT1G05960
204	AT1G75960
204	AT3G22910
204	AT3G25740
204	AT3G53480
204	AT4G26140
204	AT4G30110
204	AT4G30830
204	AT5G15660
205	AT1G47603
205	AT1G72920
205	AT1G78206
205	AT2G30520
205	AT2G39230
205	AT3G26590
205	AT4G15233
205	AT5G34871
206	AT2G19650
207	AT5G14760
208	AT1G66930
208	AT3G11402
208	AT3G27950
209	AT2G30660
210	AT1G77490
210	AT2G22870
210	AT2G33780
210	AT3G47860
210	AT4G03935
210	AT5G23405
211	AT1G03620
211	AT1G05570
211	AT1G54870
211	AT3G55990
212	AT5G41540
213	AT1G10155
213	AT4G36740
213	AT5G06330
213	AT5G14570
213	AT5G53500
214	AT2G40640
215	AT4G23020
215	AT5G57350
216	AT1G05010
216	AT1G50060
216	AT1G67070
216	AT1G68390
216	AT2G21610
217	AT1G06650
217	AT1G54890
217	AT1G67150
217	AT3G20360
218	AT3G62590
219	AT2G32650
220	AT1G31400
221	AT2G21630
222	AT1G19600
222	AT1G26945
222	AT1G45015
222	AT3G04940
222	AT4G27710
222	AT5G06800
222	AT5G46650
222	AT5G56260
222	AT5G65310
223	AT1G74110
224	AT5G17810
225	AT1G21150
225	AT1G50110
225	AT2G15128
225	AT3G01890
225	AT3G63520
225	AT5G23690
225	AT5G41600
225	AT5G66470
226	AT1G01470
226	AT1G80110
226	AT1G80450
226	AT2G30130
226	AT2G31940
226	AT2G32210
226	AT2G47520
226	AT3G02480
226	AT3G04640
226	AT3G55970
226	AT4G36010
226	AT4G38140
226	AT5G20230
226	AT5G45350
226	AT5G62070
226	AT5G62770
226	AT5G65300
226	AT5G67080
226	AT5G67190
227	AT3G11010
228	AT1G03090
228	AT1G15330
228	AT1G30820
228	AT1G43670
228	AT1G52260
228	AT2G18710
228	AT2G30600
228	AT2G31810
228	AT2G39570
228	AT3G06850
228	AT3G29160
228	AT3G45300
228	AT4G39660
228	AT5G18670
228	AT5G41080
228	AT5G61440
229	AT1G60000
230	AT1G32880
230	AT4G34300
231	AT5G24580
232	AT1G48605
232	AT1G56700
232	AT2G33820
232	AT2G39000
232	AT3G61060
232	AT4G20362
232	AT4G23570
232	AT5G16480
232	AT5G23380
232	AT5G27730
232	AT5G58650
233	AT1G10340
233	AT3G51340
233	AT4G04040
233	AT4G19510
234	AT4G39000
235	AT5G59590
236	AT5G35330
237	AT3G26200
238	AT1G04425
